[09-04-23 23:47:52.414] LOG  : General     , 1681076872414> java.vm.name=OpenJDK 64-Bit Server VM.
[09-04-23 23:47:52.414] LOG  : General     , 1681076872414> java.vendor.version=Zulu17.30+15-CA.
[09-04-23 23:47:52.414] LOG  : General     , 1681076872414> java.vendor.url.bug=http://www.azul.com/support/.
[09-04-23 23:47:52.415] LOG  : General     , 1681076872415> java.io.tmpdir=C:\Users\Aleksa\AppData\Local\Temp\.
[09-04-23 23:47:52.415] LOG  : General     , 1681076872415> java.version=17.0.1.
[09-04-23 23:47:52.415] LOG  : General     , 1681076872415> user.dir=E:\GAMES\slava rusiji\Project Zomboid.
[09-04-23 23:47:52.415] LOG  : General     , 1681076872415> os.arch=amd64.
[09-04-23 23:47:52.415] LOG  : General     , 1681076872415> java.vm.specification.name=Java Virtual Machine Specification.
[09-04-23 23:47:52.415] LOG  : General     , 1681076872415> user.language.format=sr.
[09-04-23 23:47:52.416] LOG  : General     , 1681076872416> sun.os.patch.level=.
[09-04-23 23:47:52.416] LOG  : General     , 1681076872416> native.encoding=Cp1250.
[09-04-23 23:47:52.416] LOG  : General     , 1681076872416> java.library.path=win64/;..
[09-04-23 23:47:52.416] LOG  : General     , 1681076872416> java.vm.info=mixed mode, sharing.
[09-04-23 23:47:52.416] LOG  : General     , 1681076872416> java.vendor=Azul Systems, Inc..
[09-04-23 23:47:52.417] LOG  : General     , 1681076872417> java.vm.version=17.0.1+12-LTS.
[09-04-23 23:47:52.417] LOG  : General     , 1681076872417> sun.io.unicode.encoding=UnicodeLittle.
[09-04-23 23:47:52.417] LOG  : General     , 1681076872417> java.class.version=61.0.
[09-04-23 23:47:52.417] LOG  : General     , 1681076872417> -----.
[09-04-23 23:47:52.417] LOG  : General     , 1681076872417> version=41.78.16 demo=false.
[09-04-23 23:47:52.614] LOG  : General     , 1681076872614> LightingFPS set to 15.
[09-04-23 23:47:52.615] LOG  : General     , 1681076872615> [javafmodJNI] Init: Start.
[09-04-23 23:47:52.616] LOG  : General     , 1681076872616> [javafmodJNI] Init: WIN 64.
[09-04-23 23:47:52.634] LOG  : General     , 1681076872634> 1681076872631 fmod: Java loging: OK.
